"Category","Rating","Rating.Count","Size","DaysLastUpdate","ReleasedDays","AppNameLen","Installs"
"Productivity",4.4,4.17438726989564,1.3609765531356,40,390,19,8.9441588309704
"SocialMedia",5,1.79175946922805,1.02961941718116,976,1009,50,2.99573227355399
"Educational",4.5,2.56494935746154,1.25276296849537,627,631,32,7.85088266480985
"Lifestyle",2,3.68887945411394,2.83321334405622,725,725,21,6.55535689181067
"Lifestyle",4.7,6.71052310945243,1.50407739677627,251,632,32,11.0418652777637
"Game",4.9,4.02535169073515,3.95124371858143,320,320,15,5.79909265446053
"Lifestyle",3.9,4.77912349311153,2.15176220325946,4,1169,30,10.5391115468524
"Lifestyle",3.7,7.36073990305828,3.40119738166216,381,1014,17,10.6656242712441
"Lifestyle",4.2,2.83321334405622,2.56494935746154,84,436,21,8.3696208269491
"Lifestyle",3.4,1.79175946922805,1.3609765531356,594,1660,20,6.85646198459459
"Productivity",5,1.94591014905531,1.09861228866811,772,783,23,4.14313472639153
"Lifestyle",3.7,5.79605775076537,4.26267987704132,20,349,14,10.3493265547826
"Game",4.4,5.35658627467201,2.83321334405622,400,459,23,9.64678721769308
"Entertainment",3.8,6.60258789218934,3.04452243772342,214,786,21,13.3792619629944
"Productivity",4.2,3.58351893845611,1.22377543162212,381,1479,23,9.95821245222537
"Game",4.6,2.484906649788,3.25809653802148,1177,1198,11,5.03043792139244
"Educational",4.1,3.3322045101752,2.484906649788,2739,2739,10,7.78945456608667
"Entertainment",3.4,2.83321334405622,1.97408102602201,400,559,17,8.23880116587155
"Lifestyle",3.4,4.21950770517611,2.15176220325946,351,1706,7,10.3392231836625
"Lifestyle",2.5,3.09104245335832,1.97408102602201,213,214,44,9.10331179921766
"Educational",2.3,6.04263283368238,1.28093384546206,1470,2778,21,11.218702044475
"Lifestyle",3.7,4.969813299576,2.484906649788,169,1582,18,10.6787445336296
"Lifestyle",2.1,3.52636052461616,1.54756250871601,382,1357,15,9.89797237184802
"Lifestyle",4.9,4.63472898822964,1.58923520511658,653,656,9,8.31971738685061
"Lifestyle",5,2.484906649788,3.09104245335832,381,381,24,6.71659477352098
"Game",5,2.19722457733622,3.29583686600433,45,708,15,8.13973227971767
"Productivity",2.7,6.04263283368238,1.77495235091167,518,2909,15,10.9925207747572
"Productivity",4.3,3.04452243772342,1.66770682055808,303,652,23,7.24208235925696
"Educational",3.8,2.63905732961526,1.33500106673234,419,2188,27,6.98471632011827
"Lifestyle",4.4,7.93092537248339,3.66356164612965,2278,2971,25,12.7395820362382
"Educational",3.1,2.89037175789616,1.54756250871601,430,1441,4,8.87066300440602
"Productivity",3.8,3.46573590279973,3.66356164612965,648,713,43,9.51229510371468
"Educational",4.7,3.43398720448515,2.83321334405622,326,1461,21,9.30191631546339
"Lifestyle",4.3,5.58724865840025,2.09186406167839,1886,2061,11,10.6882334886235
"Educational",4.1,5.82304589548302,3.2188758248682,395,3349,28,11.5827313392142
"Entertainment",4.7,2.56494935746154,2.484906649788,810,1009,41,6.52649485957079
"Lifestyle",3.1,4.44265125649032,3.3322045101752,176,2031,5,10.213579145501
"Entertainment",3.7,1.94591014905531,2.94443897916644,579,1399,17,6.66568371778241
"Game",4.9,2.19722457733622,3.68887945411394,22,32,11,5.32787616878958
"Productivity",4.3,1.94591014905531,0.78845736036427,1588,1589,10,5.33753807970132
"Educational",5,1.79175946922805,3.66356164612965,2,243,20,2.94443897916644
"Educational",3.9,2.30258509299405,3.13549421592915,219,219,47,6.66949808985788
"Educational",4.8,7.88758403166028,1.62924053973028,60,1869,12,10.803465958918
"Game",3.3,2.07944154167984,3.93182563272433,88,88,10,8.62245370207373
"Lifestyle",4.9,2.07944154167984,0.119559235057639,826,2603,16,7.23849684089437
"Lifestyle",2.7,5.32787616878958,2.24070968927596,0,890,10,10.8948672038493
"Lifestyle",4,6.11589212548303,1.30833281965018,2164,2164,24,10.7164823028013
"Educational",4.5,7.37337430991005,2.484906649788,13,2419,20,12.2766988490705
"Productivity",2.4,3.52636052461616,3.91202300542815,25,267,7,8.38640090116621
"Lifestyle",3.2,4.83628190695148,2.07944154167984,638,692,49,10.4961235514997
"Lifestyle",3.6,4.76217393479776,1.7404661748405,1387,2703,26,10.0484533227863
"Game",3.9,10.9190623759395,3.78418963391826,3,1679,44,17.2184628322346
"Lifestyle",3.6,6.3578422665081,3.13549421592915,725,3007,17,12.7193303094874
"Productivity",2.6,5.14749447681345,1.38629436111989,1255,1837,23,11.690267980217
"Educational",2.6,3.09104245335832,3.63758615972639,1376,1376,10,8.50956416425175
"Lifestyle",3.3,2.56494935746154,2.56494935746154,125,398,25,7.53636393840451
"Educational",4.6,4.00733318523247,1.96009478404727,244,736,9,7.2283884515736
"Game",4.2,8.53758388106397,3.40119738166216,104,2394,4,13.2135395694987
"Lifestyle",4.3,6.16120732169508,0.78845736036427,2335,2485,22,11.0400055876035
"Productivity",4.8,2.30258509299405,2.484906649788,966,1157,8,4.27666611901606
"Entertainment",5,3.09104245335832,2.18605127673809,1077,1089,6,5.41610040220442
"Productivity",4.4,2.39789527279837,1.3609765531356,71,1272,7,5.26785815906333
"Educational",4,2.484906649788,1.45861502269952,875,1530,11,8.32724260745779
"Lifestyle",3.4,3.61091791264422,1.94591014905531,559,715,11,8.41027590907016
"Educational",5,2.19722457733622,3.63758615972639,2,368,22,3.52636052461616
"Educational",4,3.63758615972639,2.37954613413017,343,1064,11,7.04664727784876
"Productivity",4.4,9.8114819067401,1.79175946922805,165,3767,18,15.1349314073099
"Educational",4.3,5.5683445037611,2.484906649788,20,1419,42,11.8544421000504
"Productivity",4.8,4.31748811353631,0.993251773010283,771,1118,49,5.63478960316925
"Game",5,1.79175946922805,3.09104245335832,658,702,21,3.63758615972639
"Lifestyle",4.3,1.94591014905531,1.06471073699243,2045,2046,13,5.14749447681345
"Game",1.5,2.19722457733622,1.50407739677627,166,239,24,7.56164174558878
"Lifestyle",4.8,6.11146733950268,1.87180217690159,182,332,36,11.9347296930117
"Lifestyle",4.2,5.01063529409626,1.7404661748405,334,686,47,11.3435833101243
"Productivity",3.7,6.32435896238131,2.83321334405622,2173,2369,23,11.3746858632463
"SocialMedia",4.1,2.77258872223978,2.15176220325946,498,622,3,4.55387689160054
"Lifestyle",4,5.72358510195238,3.8286413964891,62,2051,6,10.3943349335865
"Educational",3.7,1.94591014905531,2.24070968927596,279,559,7,6.78671695060508
"Game",4,3.25809653802148,1.90210752639692,1299,1299,21,6.76041469108343
"Game",3.5,3.2188758248682,1.50407739677627,60,867,20,8.48073665440562
"Entertainment",2.9,3.61091791264422,1.85629799036563,1957,1957,15,9.1302143274969
"Educational",4,2.19722457733622,3.36729582998647,2083,2084,16,6.15909538849193
"Educational",4.6,8.3059782109673,2.2082744135228,282,1342,28,12.9578848821522
"Educational",4.3,4.46590811865458,2.10413415427021,760,761,22,9.57941808263196
"Productivity",4.8,2.56494935746154,3.2188758248682,472,737,49,8.12622252945853
"Game",4.1,3.76120011569356,1.43508452528932,2058,2667,22,7.94767857130157
"Productivity",4.9,2.484906649788,2.484906649788,45,59,34,3.25809653802148
"Educational",4.8,7.18916773842032,2.56494935746154,40,1426,12,10.9354257079362
"SocialMedia",5,2.39789527279837,2.06686275947298,665,1164,17,6.65929391968364
"SocialMedia",4.9,8.05832730658096,3.61091791264422,334,454,17,11.7654180877962
"Productivity",4.5,2.19722457733622,2.39789527279837,41,1322,13,6.72262979485545
"Lifestyle",4.5,5.50533153593236,2.01490302054226,230,1590,26,11.6105964921437
"SocialMedia",3.8,2.94443897916644,1.6094379124341,242,842,10,8.14873480893717
"Lifestyle",4.3,2.94443897916644,4.07753744390572,11,706,7,7.75833346749091
"Educational",4.4,3.98898404656427,3.09104245335832,281,1325,40,9.46715078076088
"Lifestyle",3.9,8.05769419481559,2.33214389523559,302,1537,25,15.198391600334
"Lifestyle",2.4,1.79175946922805,1.79175946922805,1689,1697,20,9.36589007271715
"Educational",2.5,4.30406509320417,2.89037175789616,231,1849,13,9.5655642636476
"Educational",5,1.94591014905531,1.94591014905531,692,721,9,5.25749537202778
"Entertainment",4.2,3.58351893845611,4.07753744390572,586,2246,17,9.24019039394507
"Entertainment",4.1,4.54329478227,3.29583686600433,37,37,22,9.24946492666023
"Lifestyle",4.6,6.09356977004514,2.83321334405622,208,765,37,11.723429472738
"Educational",2.4,6.74993119378857,4.70048036579242,225,823,12,11.6909795959076
"Educational",3.6,2.19722457733622,0.832909122935104,818,2730,8,7.568895663407
"Lifestyle",4.6,7.51316354523408,2.63905732961526,134,2617,10,10.9948570084347
"Productivity",4.5,3.04452243772342,2.63905732961526,1401,1834,8,4.91265488573605
"Entertainment",3.9,5.98645200528444,2.83321334405622,998,998,43,11.176459228331
"Educational",4.4,3.55534806148941,4.14313472639153,939,988,40,8.61286694148452
"Educational",3.7,1.94591014905531,2.39789527279837,29,671,19,8.3774712482411
"Game",3.9,2.484906649788,4.89783979995091,85,88,10,6.25958146406492
"Entertainment",3.7,2.94443897916644,2.83321334405622,824,826,33,9.17139162183761
"Entertainment",4.8,4.85203026391962,3.95124371858143,1579,1580,30,9.52544304000396
"Lifestyle",4.3,5.74620319054015,3.17805383034795,32,2365,19,10.7522914211805
"Productivity",4.3,3.04452243772342,5.03043792139244,16,163,38,8.1101268019411
"Educational",4.6,2.83321334405622,3.17805383034795,0,557,34,6.7719355558396
"Lifestyle",4.5,4.43081679884331,2.35137525716348,377,1038,36,10.3509579547893
"Lifestyle",1.3,1.94591014905531,3.71357206670431,81,88,8,6.24222326545517
"Educational",4.3,5.76519110278484,2.24070968927596,43,286,50,10.2145320850248
"Productivity",4,4.31748811353631,2.19722457733622,336,575,38,9.80626053677502
"Educational",3.9,3.40119738166216,2.99573227355399,798,2451,19,7.55118686729615
